Date;Type;Symbol;Name;Quantity;Price;Amount
2022/02/02;BUY;AAPL;Apple Inc.;0,0257909;174,87 US$;-4,51 US$
2022/02/02;BUY;AGNC;AGNC Investment Corp.;0,344589;14,51 US$;-5,00 US$
2022/02/03;BUY;KO;Coca-Cola Company (The);0,127739;61,14 US$;-7,81 US$
2022/02/15;DIVIDEND;AAPL;Apple Inc.;;;0,03 US$
2022/02/16;BUY;KO;Coca-Cola Company (The);0,233060;61,10 US$;-14,24 US$
2022/03/10;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2022/04/04;DIVIDEND;KO;Coca-Cola Company (The);;;0,14 US$
2022/04/13;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2022/05/11;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2022/05/16;DIVIDEND;AAPL;Apple Inc.;;;0,03 US$
2022/06/10;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2022/07/05;DIVIDEND;KO;Coca-Cola Company (The);;;0,14 US$
2022/07/13;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2022/08/16;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2022/08/16;DIVIDEND;AAPL;Apple Inc.;;;0,03 US$
2022/09/13;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2022/10/04;DIVIDEND;KO;Coca-Cola Company (The);;;0,14 US$
2022/10/13;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2022/11/10;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2022/11/11;DIVIDEND;AAPL;Apple Inc.;;;0,03 US$
2022/12/12;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2022/12/16;DIVIDEND;KO;Coca-Cola Company (The);;;0,14 US$
2023/01/13;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2023/02/10;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2023/02/17;DIVIDEND;AAPL;Apple Inc.;;;0,03 US$
2023/03/10;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2023/03/10;BUY;AAPL;Apple Inc.;0,013252;150,16 US$;-1,99 US$
2023/04/04;DIVIDEND;KO;Coca-Cola Company (The);;;0,14 US$
2023/04/11;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2023/05/10;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2023/05/18;DIVIDEND;AAPL;Apple Inc.;;;0,03 US$
2023/06/12;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2023/06/12;BUY;O;Realty Income Corporation;0,164230;60,89 US$;-10,00 US$
2023/07/13;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,11 US$
2023/07/17;DIVIDEND;KO;Coca-Cola Company (The);;;0,14 US$
2023/07/17;BUY;O;Realty Income Corporation;0,347349;61,12 US$;-21,23 US$
2023/07/17;DIVIDEND;O;Realty Income Corporation;;;0,03 US$
2023/08/11;DIVIDEND;AGNC;AGNC Investment Corp.;;;0,09 US$
2023/08/16;DIVIDEND;O;Realty Income Corporation;;;0,09 US$
2023/08/18;DIVIDEND;AAPL;Apple Inc.;;;0,03 US$
2023/09/05;SELL;AAPL;Apple Inc.;0,175483;188,11 US$;33,01 US$
2023/09/05;SELL;O;Realty Income Corporation;0,51158;55,89 US$;28,59 US$
2023/09/05;SELL;KO;Coca-Cola Company (The);0,3608;59,01 US$;21,29 US$
2023/09/05;SELL;AGNC;AGNC Investment Corp.;1,109009;9,88 US$;10,96 US$
2023/09/05;BUY;MO;Altria Group, Inc.;0,104265;44,43 US$;-4,63 US$
2023/09/05;BUY;MNST;Monster Beverage Corporation;0,041479;55,84 US$;-2,32 US$
2023/09/05;BUY;RACE;Ferrari N.V.;0,0120827;306,18 US$;-3,70 US$
2023/09/05;BUY;AGNC;AGNC Investment Corp.;0,46935;9,87 US$;-4,63 US$
2023/09/05;BUY;NVDA;NVIDIA Corporation;0,0096209;451,50 US$;-4,34 US$
2023/09/05;BUY;MCD;McDonald's Corporation;0,46935;9,87 US$;-4,63 US$
2023/09/05;BUY;MSFT;Microsoft Corporation;0,0140818;328,97 US$;-4,63 US$
